127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.5.2 HTTP/1.0" 200 399111
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,wp-polyfill-inert,regenerator-runtime,wp-polyfill,wp-hooks&ver=6.5.2 HTTP/1.0" 200 59197
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.13.2 HTTP/1.0" 200 10114
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.2 HTTP/1.0" 200 8466
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.0" 200 15238
127.0.0.1 - - [17/Apr/2024:10:34:55 +0100] "GET /wp-includes/js/wp-emoji-release.min.js?ver=6.5.2 HTTP/1.0" 200 18726
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 572
127.0.0.1 - - [17/Apr/2024:10:34:55 +0100] "GET /wp-admin/images/spinner.gif HTTP/1.0" 200 3656
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=a7e3921f65&1713346494751 HTTP/1.0" 200 1114
127.0.0.1 - - [17/Apr/2024:10:34:55 +0100] "POST /wp-cron.php?doing_wp_cron=1713346495.3381590843200683593750 HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2024:10:34:56 +0100] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=a7e3921f65&1713346496388 HTTP/1.0" 200 572
127.0.0.1 - - [17/Apr/2024:10:34:56 +0100] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=a7e3921f65&1713346496842 HTTP/1.0" 200 1
127.0.0.1 - - [17/Apr/2024:10:34:54 +0100] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 1054
127.0.0.1 - - [17/Apr/2024:10:35:30 +0100] "GET / HTTP/1.0" 200 91237
127.0.0.1 - - [17/Apr/2024:10:35:30 +0100] "GET /wp-includes/css/dashicons.min.css?ver=6.5.2 HTTP/1.0" 200 59016
127.0.0.1 - - [17/Apr/2024:10:35:30 +0100] "GET /wp-includes/css/admin-bar.min.css?ver=6.5.2 HTTP/1.0" 200 20319
127.0.0.1 - - [17/Apr/2024:10:35:30 +0100] "GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.2 HTTP/1.0" 200 16484
